FEN,Result
...f....ac.b....e.d..........43.25......1....F...,0
...f....ac.b....e........5...4..d.......1....F...,0
...f....ac........b.....e....4..........1....F...,0
...f....ac........b....e.........1...........F...,0
...f....aecbd.......................43512....F...,1
...f....ae.b....c.d..........45......3.12....F...,1
...f.....e.b....c.5..a.......4.......3.12....F...,1
...f....aecdb.......................13452....F...,1
...f.....e.db...a.c...........4.2...13.5.....F...,1
...f.......db...eac..........34.25..1........F...,1
...f.......db....ac..........31.e5...........F...,1
...f.......db.....c.....a....31..............F...,1
...f.......db.....c...3......................F...,1
...f....3..db.....c..........................F...,1
...f....cbade.......................43152....F...,1
...f.....bad....c.e..........4...5...31.2....F...,1
...f.....b.d....c.e....a.....43.25....1......F...,1
...f.......d....b.e....4........25....1......F...,1
...f.............e..............25....1......F...,1
...f....................e.....1..5...........F...,1
...f....aedcb.......................51243....F...,0
...f....ae.c....d.b..........5........243...1F...,0
...f.....e.c....d.b..a.......5..34....2.....1F...,0
...f.....e.c....db...........2..34..........1F...,0
...f.....e.c.....bd..........2...4...1.......F...,0
...f.....e.c......d.....b....2...4...........F...,0
...f....badce.......................13452....F...,0
...f....ba.c....d.e...........4..5..13..2....F...,0
...f....b..c.....ae.....d....3...5..1...2....F...,0
...f.......c....bae..........3..5...1........F...,0
...f.......c....b.e..........3a..............F...,0
...f....cadeb.......................34521....F...,1
...f....ca.e....d.b..........4..5...3..21....F...,1
...f....c..e....a.b..........4......3..21....F...,1
...f.....c.e.....ab..........43..2......1....F...,1
...f.....c......a.e..........4...2......1....F...,1
...f............c.e....4........12...........F...,1
...f......e.....................12...........F...,1
...f....caedb.......................15432....F...,0
...f....ca.d....e.b..........5..4...1..32....F...,0
...f....c..d.....ab.....e....5...3..1...2....F...,0
...f....c..d.....ab..........51..e...........F...,0
...f....becda.......................34215....F...,0
...f....be.d....c.a..........4...5..3.21.....F...,0
...f....be.d....c............43.2a.....1.....F...,0
...f....be........d.....c....4..21...........F...,0
...f....be............4.c........d...........F...,0
...f....decba.......................31524....F...,0
...f.....e.ba...d.c...........5..2..31..4....F...,0
...f.....e.b....d.c.....5..a....42..31.......F...,0
...f............ebc........2....4...31.......F...,0
...f.....b........c.....e..2.3.......1.......F...,0
...f.....b......e..c.........31..............F...,0
...f............b.c..........3...............F...,0
...f....cabed.......................53214....F...,0
...f.....abe....c.d..........5....4..321.....F...,0
...f.....abe....c............5..d....3.1.....F...,0
...f....dabce.......................23415....F...,0
...f.....abc....d.e...........4..5..23.1.....F...,0
...f.....a.c.....be.....d....3...5..2..1.....F...,0
...f.....a.c.....be..........d..15...........F...,0
...f....cdabe.......................24153....F...,1
...f.....dab....c.e..........4...5..2.1.3....F...,1
...f.....d.b....c.e....a.....42.35....1......F...,1
...f.......b....d.e....4........35....1......F...,1
...f.............e..............35....1......F...,1
...f....................e.....1..5...........F...,1
...f....bcead.......................51243....F...,1
...f.....c.ad...b.e..........5...4...12.3....F...,1
...f.....c.d....bae..........52.34...1.......F...,1
...f.....c.d....ba...........5e1.4...........F...,1
...f.....c.d....b.......a....5...4...........F...,1
...f.....c......b.d....a..4..................F...,1
...f.....c4.....b....................a.......F...,1
...f....decab.......................13425....F...,0
...f.....e.ab...d.c.............45..13.2.....F...,0
...f.....e..b....ac.....d....3...5..1..2.....F...,0
...f.....e.b.....ac..........3..5...1........F...,0
...f.....e.b......c..........3a..............F...,0
...f....daebc.......................14352....F...,1
...f.....a.bc...d.e..........4...5..1.3.2....F...,1
...f.....a.bc...d.e..........43.25..1........F...,1
...f.....a.bc.....e..........41.d5...........F...,1
...f.......bc.....e.....a....41..............F...,1
...f.............bc..........4...............F...,1
...f.......c....4............................F...,1
...f....eacdb.......................43152....F...,0
...f.....a.db...e.c..........4...5...31.2....F...,0
...f.....a.db...e.c..........43.25....1......F...,0
...f.....a.db...e............41.c5...........F...,0
...f.....a.d......b.....e....41..............F...,0
...f.....a.d......b....4.....................F...,0
...f....cbaed.......................15234....F...,0
...f....cbaed................52.....1..34....F...,0
...f.....bae....c.d..........52.34..1........F...,0
...f.....bae......d....5......c..4..1........F...,0
...f.....b.e......d.....a........4..1........F...,0
...f.....b.e....a.........d..1...............F...,0
...f....cdabe.......................13524....F...,0
